Years,World,Central and East Asia,Europe,Latin America,Middle East/North Africa,North America,Oceania,South Asia,Southeast Asia,Sub-Saharan Africa
2100,-0.525914546589597,0.305415533106491,-0.256395769484188,-0.507557346051851,-0.684098423747583,-0.372197816686762,-0.260831384374798,-0.169828017411915,-0.704898375494524,-0.661676293020145
2101,-0.527720358636014,0.307225446572931,-0.257499822797741,-0.509367844210663,-0.685955753311548,-0.373591644904724,-0.26200257980281,-0.170545982248737,-0.706817501899353,-0.663548964186328
2102,-0.529463245690207,0.308981930140008,-0.258568040172075,-0.511115525298247,-0.687744351152286,-0.374939148029603,-0.263135666906571,-0.17124108056155,-0.708664448000636,-0.665353011709108
2103,-0.531145580378605,0.310686472215213,-0.259601620974544,-0.512802740182372,-0.6894670549543,-0.376241942808342,-0.264231927538044,-0.171914054495505,-0.710442257943336,-0.667091233892917
2104,-0.53276963711861,0.312340521859955,-0.260601725440659,-0.514431743560087,-0.691126571339627,-0.377501587197153,-0.265292596937207,-0.172565619667302,-0.712153832246929,-0.66876629455975
2105,-0.534337596176811,0.313945494673078,-0.261569470883848,-0.516004697860534,-0.692725482022898,-0.378719580911423,-0.266318866765445,-0.173196467943181,-0.713801934906705,-0.670380736698378
2106,-0.535851547600835,0.315502773768605,-0.262505936133781,-0.517523677032143,-0.694266248021943,-0.379897368941426,-0.26731188765693,-0.1738072687809,-0.715389199782433,-0.671936987982866
2107,-0.537313495020423,0.317013706300495,-0.263412162805429,-0.518990670209709,-0.695751218357176,-0.381036339766374,-0.268272770545534,-0.174398672056717,-0.716918136749863,-0.673437366075644
2108,-0.538725359315769,0.318479605164612,-0.264289156541132,-0.520407586520478,-0.697182633093506,-0.38213783586486,-0.269202589021884,-0.174971302798069,-0.71839113761155,-0.674884085364305
2109,-0.540088984781645,0.319901752644377,-0.265137888225328,-0.521776261393227,-0.698562629126998,-0.383203146247338,-0.270102378155704,-0.175525765742696,-0.719810481765504,-0.676279264171629
2110,-0.541406142742571,0.32128139821756,-0.265959295172406,-0.523098450819596,-0.69989324535319,-0.384233512603782,-0.270973136949487,-0.176062649161438,-0.721178341632483,-0.677624921088078
2111,-0.542678526917254,0.322619759190436,-0.266754282283728,-0.524375844679588,-0.701176438833521,-0.385230131646954,-0.271815829840981,-0.17658251755303,-0.72249679159732,-0.6789229852041
